2024-04-25 20:03:16.191 [main] INFO  com._98labs.exercises.sockets.ClientConnection - Enter the line number (Enter '00' to exit):
2024-04-25 20:03:26.566 [main] INFO  com._98labs.exercises.sockets.ClientConnection - Response from server: Line 1 : Still I Rise
2024-04-25 20:03:26.567 [main] INFO  com._98labs.exercises.sockets.ClientConnection - Enter the line number (Enter '00' to exit):
2024-04-25 20:03:38.608 [main] INFO  com._98labs.exercises.sockets.ClientConnection - Response from server: Line 2 : BY MAYA ANGELOU
2024-04-25 20:03:38.609 [main] INFO  com._98labs.exercises.sockets.ClientConnection - Enter the line number (Enter '00' to exit):
2024-04-25 20:03:45.423 [main] INFO  com._98labs.exercises.sockets.ClientConnection - Invalid input. Please enter integer number greater than 0.
2024-04-25 20:03:45.424 [main] INFO  com._98labs.exercises.sockets.ClientConnection - Enter the line number (Enter '00' to exit):
2024-04-25 20:04:11.366 [main] INFO  com._98labs.exercises.sockets.ClientConnection - Invalid input. Please enter integer number greater than 0.
2024-04-25 20:04:11.366 [main] INFO  com._98labs.exercises.sockets.ClientConnection - Enter the line number (Enter '00' to exit):
2024-04-25 20:04:22.814 [main] INFO  com._98labs.exercises.sockets.ClientConnection - Invalid input. Please enter integer number greater than 0.
2024-04-25 20:04:22.814 [main] INFO  com._98labs.exercises.sockets.ClientConnection - Enter the line number (Enter '00' to exit):
2024-04-25 20:04:32.711 [main] INFO  com._98labs.exercises.sockets.ClientConnection - Invalid input. Please enter integer number greater than 0.
2024-04-25 20:04:32.711 [main] INFO  com._98labs.exercises.sockets.ClientConnection - Enter the line number (Enter '00' to exit):
2024-04-25 20:04:42.623 [main] INFO  com._98labs.exercises.sockets.ClientConnection - Invalid input. Please enter integer number greater than 0.
2024-04-25 20:04:42.624 [main] INFO  com._98labs.exercises.sockets.ClientConnection - Enter the line number (Enter '00' to exit):
2024-04-25 20:05:01.638 [main] INFO  com._98labs.exercises.sockets.ClientConnection - Invalid input. Please enter integer number greater than 0.
2024-04-25 20:05:01.639 [main] INFO  com._98labs.exercises.sockets.ClientConnection - Enter the line number (Enter '00' to exit):
2024-04-25 20:05:37.890 [main] INFO  com._98labs.exercises.sockets.ClientConnection - Invalid input. Please enter integer number greater than 0.
